Total de equipos en la BD: 2404

Stints  País                  Nombre
     9  Desconocido           Inter Milan
     8  Desconocido           Defensa y Justicia
     8  Desconocido           Rennes B
     8  Desconocido           Toulouse B
     8  Desconocido           Le Havre B
     8  Desconocido           Valladolid B
     8  Desconocido           Peñarol
     8  Desconocido           Racing Santander
     8  Desconocido           Chievo
     8  Desconocido           Strasbourg B
     8  Desconocido           Vitória
     8  Desconocido           Dynamo Kyiv
     8  Desconocido           Swindon Town
     8  Desconocido           Laval
     8  Desconocido           Ajaccio
     8  Desconocido           Forest Green Rovers
     8  Desconocido           Huddersfield Town
     8  Desconocido           Cheltenham Town
     8  Desconocido           Dinamo Tbilisi
     8  Desconocido           Queens Park Rangers
     8  Desconocido           Zulte Waregem
     8  Desconocido           Hamburger SV II
     8  Desconocido           FC Augsburg II
     8  Desconocido           Hibernian
     8  Desconocido           Chicago Fire
     8  Desconocido           Nacional
     8  Desconocido           Nice B
     8  Desconocido           PAOK
     8  Desconocido           OH Leuven
     8  Desconocido           Südtirol
     8  Desconocido           Juve Stabia
     8  Desconocido           Feralpisalò
     8  Desconocido           Go Ahead Eagles
     8  Desconocido           Carpi
     8  Desconocido           Nancy
     8  Desconocido           Grêmio
     8  Desconocido           Utrecht
     8  Desconocido           1. FC Kaiserslautern II
     8  Desconocido           Holstein Kiel II
     8  Desconocido           Angers B
     8  Desconocido           Quevilly-Rouen
     8  Desconocido           Nantes B
     7  Desconocido           Monterrey
     7  Desconocido           Osasuna B
     7  Desconocido           América
     7  Desconocido           NAC Breda
     7  Desconocido           Le Mans
     7  Desconocido           Angers II
     7  Desconocido           IF Brommapojkarna
     7  Desconocido           Real Madrid Castilla
     7  Desconocido           Oxford United
     7  Desconocido           Rayo Majadahonda
     7  Desconocido           Estudiantes
     7  Desconocido           Alcorcón
     7  Desconocido           Hannover 96
     7  Desconocido           Rayo Vallecano B
     7  Desconocido           Royal Antwerp
     7  Desconocido           Reading
     7  Desconocido           Istres
     7  Desconocido           Newport County
     7  Desconocido           Reims II
     7  Desconocido           Stockport County
     7  Desconocido           Fleetwood Town
     7  Desconocido           Northampton Town
     7  Desconocido           Aberdeen
     7  Desconocido           Kilmarnock
     7  Desconocido           Bradford City
     7  Desconocido           Portsmouth
     7  Desconocido           Cardiff City
     7  Desconocido           Saint-Étienne II
     7  Desconocido           Lyon II
     7  Desconocido           Nice II
     7  Desconocido           VfL Wolfsburg II
     7  Desconocido           Mouscron
     7  Desconocido           Reggiana
     7  Desconocido           Milan Futuro
     7  Desconocido           Trapani
     7  Desconocido           Pordenone
     7  Desconocido           Slovan Bratislava
     7  Desconocido           Antwerp
     7  Desconocido           New York City FC
     7  Desconocido           Legia Warsaw
     7  Desconocido           1860 Munich
     7  Desconocido           HamKam
     7  Desconocido           1. FC Nürnberg II
     7  Desconocido           Mainz 05 II
     7  Desconocido           Gil Vicente
     7  Desconocido           Eintracht Frankfurt II
     7  Desconocido           SC Verl
     7  Desconocido           1. FC Magdeburg
     7  Desconocido           Montpellier B
     7  Desconocido           Al-Shabab
     7  Desconocido           Vissel Kobe
     7  Desconocido           LA Galaxy
     6  Desconocido           Vitória de Guimarães
     6  Desconocido           Rosario Central
     6  Desconocido           Burgos
     6  Desconocido           Alavés B
     6  Desconocido           Braga B
     6  Desconocido           Al-Gharafa
     6  Desconocido           PEC Zwolle
     6  Desconocido           Hércules
     6  Desconocido           Orléans
     6  Desconocido           Trabzonspor
     6  Desconocido           Ankaragücü
     6  Desconocido           Coritiba
     6  Desconocido           Lugo
     6  Desconocido           Sochaux II
     6  Desconocido           Le Havre II
     6  Desconocido           Cádiz
     6  Desconocido           Ternana
     6  Desconocido           CSKA Moscow
     6  Desconocido           Atlas
     6  Desconocido           Seraing
     6  Desconocido           San Lorenzo
     6  Desconocido           Rodez
     6  Desconocido           Blackpool
     6  Desconocido           Châteauroux
     6  Desconocido           Stevenage
     6  Desconocido           New York Red Bulls
     6  Desconocido           AIK
     6  Desconocido           Lens B
     6  Desconocido           Argentinos Juniors
     6  Desconocido           Orlando City
     6  Desconocido           Talleres
     6  Desconocido           Excelsior
     6  Desconocido           Oostende
     6  Desconocido           Slavia Prague
     6  Desconocido           Jong AZ
     6  Desconocido           Westerlo
     6  Desconocido           Wolfsberger AC
     6  Desconocido           Austria Wien
     6  Desconocido           OB
     6  Desconocido           Union SG
     6  Desconocido           Hertha BSC II
     6  Desconocido           Benevento
     6  Desconocido           Catania
     6  Desconocido           Ravenna
     6  Desconocido           Virtus Entella
     6  Desconocido           Lech Poznań
     6  Desconocido           Lugano
     6  Desconocido           Livorno
     6  Desconocido           Foggia
     6  Desconocido           1860 Munich II
     6  Desconocido           İstanbul Başakşehir
     6  Desconocido           Antalyaspor
     6  Desconocido           Hansa Rostock
     6  Desconocido           Eintracht Braunschweig
     6  Desconocido           Auxerre B
     6  Desconocido           Malmö FF
     6  Desconocido           Arminia Bielefeld
     6  Desconocido           FC St. Pauli II
     6  Desconocido           Tours
     6  Desconocido           Grenoble
     6  Desconocido           Los Angeles FC
     6  Desconocido           New York Cosmos
     6  Desconocido           Al Sadd
     6  Desconocido           Al-Ahli
     5  Desconocido           Monaco II
     5  Desconocido           Dinamo Zagreb II
     5  Desconocido           Bordeaux II
     5  Desconocido           Racing Club
     5  Desconocido           Racing Ferrol
     5  Desconocido           Getafe B
     5  Desconocido           Famalicão
     5  Desconocido           Reims B
     5  Desconocido           Logroñés
     5  Desconocido           Luzern
     5  Desconocido           Ponferradina
     5  Desconocido           Córdoba
     5  Desconocido           Málaga B
     5  Desconocido           Guaraní
     5  Desconocido           Girona B
     5  Desconocido           Yokohama F. Marinos
     5  Desconocido           Vålerenga
     5  Desconocido           Exeter City
     5  Desconocido           Ponte Preta
     5  Desconocido           Novara
     5  Desconocido           Leyton Orient
     5  Desconocido           Sion
     5  Desconocido           Troyes II
     5  Desconocido           Sport Recife
     5  Desconocido           Milton Keynes Dons
     5  Desconocido           Châteauroux II
     5  Desconocido           Hartlepool United
     5  Desconocido           Lincoln City
     5  Desconocido           Mansfield Town
     5  Desconocido           Lorient B
     5  Desconocido           Motherwell
     5  Desconocido           Esbjerg fB
     5  Desconocido           Wycombe Wanderers
     5  Desconocido           Strømsgodset
     5  Desconocido           Volendam
     5  Desconocido           Boulogne
     5  Desconocido           Al-Ittihad
     5  Desconocido           Eupen
     5  Desconocido           FC Ingolstadt
     5  Desconocido           Kidderminster Harriers
     5  Desconocido           Lucchese
     5  Desconocido           1. FC Saarbrücken
     5  Desconocido           Boavista
     5  Desconocido           Al-Rayyan
     5  Desconocido           Triestina
     5  Desconocido           Pro Vercelli
     5  Desconocido           Dinamo București
     5  Desconocido           Caen II
     5  Desconocido           Carrarese
     5  Desconocido           AGF
     5  Desconocido           Górnik Zabrze
     5  Desconocido           LASK
     5  Desconocido           Potenza
     5  Desconocido           Legia Warsaw II
     5  Desconocido           SønderjyskE
     5  Desconocido           Toronto FC
     5  Desconocido           Heracles Almelo
     5  Desconocido           Inter Milan U23
     5  Desconocido           Rijeka
     5  Desconocido           Valenciennes B
     5  Desconocido           Jahn Regensburg
     5  Desconocido           Shimizu S-Pulse
     5  Desconocido           RSCA Futures
     5  Desconocido           VfL Osnabrück
     5  Desconocido           SV Wehen Wiesbaden
     5  Desconocido           Caen B
     5  Desconocido           Juventude
     5  Desconocido           Brest B
     5  Desconocido           Al-Arabi
     5  Desconocido           Estudiantes LP
     4  Desconocido           Barcelona C
     4  Desconocido           Vitória de Guimarães B
     4  Desconocido           Beira-Mar
     4  Desconocido           Levante B
     4  Desconocido           Real Unión
     4  Desconocido           Gimnàstic
     4  Desconocido           Las Palmas B
     4  Desconocido           Sevilla C
     4  Desconocido           IFK Göteborg
     4  Desconocido           Rubin Kazan
